date;EURUSD;AUDUSD;EURCHF;EURGBP;EURJPY;NZDUSD;USDCAD
38811;-321.143584;286.5075;35.661895;-39.506456;262.04694;0;-343.71237
38812;8.80023;-77.25464;45.258047;-171.838933;228.06896;0;-49.6124
38813;125.75893;-86.15974;41.462734;153.819713;-31.27704;0;-205.98179
38814;-208.53628;-67.04459;14.857898;-48.30362;-31.28634;0;-196.36174
38817;-87.40275;-50.190615;-76.458804;-0.86443;64.46662;0;38.61877
38818;22.52122;-53.94948;28.16687;42.307028;3.75835;0;-34.59724
38819;152.87383;3.274573;66.390253;120.603887;-31.2866;0;7.32665
38820;-20.28833;-128.65979;7.2532;-9.551098;-31.28686;0;75.07168
38821;-12.876387;-25.531214;-13.733294;-18.21283;-31.28468;0;41.1637
38824;-13.29242;-96.68602;85.691333;16.466374;84.72347;0;-68.64029
38825;121.56225;-79.74955;15.89155;-31.221994;68.04509;0;-142.55655
38826;-16.25464;-106.5898;-32.884674;146.973562;-31.27687;0;-51.16124
38827;-56.50727;-336.19952;-95.623905;-78.876658;-31.27163;0;54.73684
38828;104.09404;272.94686;-38.473259;-61.496709;-31.27704;0;-92.80253
38831;-20.33176;52.29284;26.342246;-0.866401;-31.29232;0;10.82909
38832;-18.64452;-105.0774;-28.942825;-44.078246;191.03724;0;-67.92652
38833;16.43412;-79.05614;-83.848693;-39.631257;-31.2283;0;-87.38148
38834;69.0521;-5.9757;56.603057;81.067096;-31.29259;0;11.44175
38835;-20.32115;-217.860338;231.5494;37.984518;99.80512;0;-62.60702
38838;-6.41244;-100.38711;57.20795;-13.87684;-31.29179;0;-53.55557
38839;160.2729;254.98426;34.182125;73.221757;7.95867;0;-268.85898
38840;47.00408;-86.423918;-52.270165;27.52494;87.36849;0;27.1341
38841;181.64617;240.06215;107.368259;99.865678;-31.28398;0;124.8657
38842;-24.34163;146.83413;7.30245;-48.956755;-31.27981;0;-68.83593
38845;71.48081;108.477927;24.60876;21.039712;-31.29675;0;185.44474
38846;161.18026;228.02482;38.135104;-9.654486;-31.30194;0;314.66057
